Código Centro,Tipo Centro,Nombre Centro,Público/Privado,Dirección,Código Postal,Municipio,Provincia,Distancia (Km),Duración
41701936,Instituto de Educación Secundaria,Torre del Águila,Público,"C/ Gladiolo, s/n",41719,El Palmar de Troya,Sevilla,254 km,2h 40 min
41002441,Instituto de Educación Secundaria,Guadalquivir,Público,"Avda. de la Cruz, 31",41440,Lora del Río,Sevilla,230 km,2h 41 min
41006900,Instituto de Educación Secundaria,Velázquez,Público,"C/ Francisco Carrión Mejías, 10",41003,Sevilla,Sevilla,252 km,2h 41 min
41006924,Instituto de Educación Secundaria,Fernando de Herrera,Público,"Avda. de la Palmera, 20",41012,Sevilla,Sevilla,259 km,2h 41 min
41701894,Instituto de Educación Secundaria,Al-Lawra,Público,"Bda. de las Viñas, s/n",41440,Lora del Río,Sevilla,230 km,2h 41 min
14700419,Instituto de Educación Secundaria,La Escribana,Público,"C/ Cultura Sebastián, 9",14300,Villaviciosa de Córdoba,Córdoba,250 km,2h 42 min
41006912,Instituto de Educación Secundaria,Gustavo Adolfo Bécquer,Público,"C/ López de Gomara, s/n",41010,Sevilla,Sevilla,262 km,2h 42 min
41007357,Instituto de Educación Secundaria,Vicente Aleixandre,Público,"C/ San Vicente de Paúl, 5",41010,Sevilla,Sevilla,262 km,2h 42 min
41700041,Instituto de Educación Secundaria,Triana,Público,"C/ San Jacinto, 79",41010,Sevilla,Sevilla,262 km,2h 42 min
41700828,Instituto de Educación Secundaria,Severo Ochoa,Público,"C/ Severo Ochoa, s/n",41920,San Juan de Aznalfarache,Sevilla,263 km,2h 42 min
41701183,Instituto de Educación Secundaria,Néstor Almendros,Público,"C/ Néstor Almendros, s/n",41940,Tomares,Sevilla,263 km,2h 42 min
11000289,Instituto de Educación Secundaria,Carlos Cano,Público,"Avda. Carlos Cano, s/n",11370,Los Barrios,Cádiz,260 km,2h 43 min
41008994,Instituto de Educación Secundaria,Maestro Diego Llorente,Público,"Ctra. del Monte, 1",41720,Los Palacios y Villafranca,Sevilla,250 km,2h 43 min
41012225,Instituto de Educación Secundaria,Ítaca,Público,"Avda. Cristina Hoyos, s/n",41940,Tomares,Sevilla,264 km,2h 43 min
41701419,Instituto de Educación Secundaria,Itálica,Público,"C/ TIERNO GALVÁN, S/N",41970,Santiponce,Sevilla,262 km,2h 43 min
11000231,Instituto de Educación Secundaria,Bahía de Algeciras,Público,"Avda. Holanda, s/n",11205,Algeciras,Cádiz,259 km,2h 44 min
11700500,Instituto de Educación Secundaria,Carlos III,Público,"C/ Casimiro de Angulo, 19",11660,Prado del Rey,Cádiz,224 km,2h 44 min
